Agent_Number,Epsilon,Trendsetter_Percent,Beta,Weight,Distance_Type
100,0.15,10,0.3,"[0, 0, 1]",far
100,0.1,8,0.3,"[0, 0, 1]",far
100,0.2,10,0.3,"[0, 0, 1]",far
100,0.2,10,0.4,"[0, 0, 1]",far
100,0.2,8,0.4,"[0, 0, 1]",far
100,0.1,8,0.4,"[0, 0, 1]",far
100,0.2,6,0.4,"[0, 0, 1]",far
100,0.2,4,0.3,"[0, 0, 1]",far
100,0.15,10,0.3,"[0, 0, 1]",close
100,0.1,8,0.3,"[0, 0, 1]",close
100,0.2,10,0.3,"[0, 0, 1]",close
100,0.2,10,0.4,"[0, 0, 1]",close
100,0.2,8,0.4,"[0, 0, 1]",close
100,0.1,8,0.4,"[0, 0, 1]",close
100,0.2,6,0.4,"[0, 0, 1]",close
100,0.2,4,0.3,"[0, 0, 1]",close
