A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage,Agent_Number,Epsilon,Trendsetter_Percent,Beta,Weight
19,0,19,0.0,100,0.1,2,0.3,"[0, 0, 1]"
17,3,20,0.15,100,0.1,8,0.3,"[0, 0, 1]"
18,1,19,0.05,100,0.1,8,0.4,"[0, 0, 1]"
19,0,19,0.0,100,0.15,4,0.4,"[0, 0, 1]"
16,4,20,0.2,100,0.15,10,0.3,"[0, 0, 1]"
19,1,20,0.05,100,0.15,10,0.3,"[0, 0, 1]"
20,0,20,0.0,100,0.2,2,0.3,"[0, 0, 1]"
19,1,20,0.05,100,0.2,4,0.3,"[0, 0, 1]"
17,1,18,0.05,100,0.2,6,0.4,"[0, 0, 1]"
18,2,20,0.1,100,0.2,8,0.4,"[0, 0, 1]"
16,3,19,0.15,100,0.2,10,0.3,"[0, 0, 1]"
18,1,19,0.05,100,0.2,10,0.3,"[0, 0, 1]"
17,2,19,0.1,100,0.2,10,0.4,"[0, 0, 1]"
