Topology,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage,Agent_Number,Epsilon,Trendsetter_Percent,Beta,Weight
small_world,84,14,98,0.14,100,0.15,10,0.3,"[0, 0, 1]"
small_world,90,10,100,0.1,100,0.1,8,0.3,"[0, 0, 1]"
small_world,75,21,96,0.21,100,0.2,10,0.3,"[0, 0, 1]"
small_world,80,19,99,0.19,100,0.2,10,0.4,"[0, 0, 1]"
small_world,84,16,100,0.16,100,0.2,8,0.4,"[0, 0, 1]"
small_world,88,12,100,0.12,100,0.1,8,0.4,"[0, 0, 1]"
small_world,89,8,97,0.08,100,0.2,6,0.4,"[0, 0, 1]"
small_world,90,6,96,0.06,100,0.2,4,0.3,"[0, 0, 1]"
random,21,0,21,0.0,100,0.15,10,0.3,"[0,1,0]"
random,24,0,24,0.0,100,0.1,8,0.3,"[0,1,0]"
random,37,0,37,0.0,100,0.2,10,0.3,"[0,1,0]"
random,38,0,38,0.0,100,0.2,10,0.4,"[0,1,0]"
random,53,0,53,0.0,100,0.2,8,0.4,"[0,1,0]"
random,34,0,34,0.0,100,0.1,8,0.4,"[0,1,0]"
random,44,0,44,0.0,100,0.2,6,0.4,"[0,1,0]"
random,54,0,54,0.0,100,0.2,4,0.3,"[0,1,0]"
